| Published | Title | Modalities | Platform | Assignment | Publisher | Link | Code |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| **2025** | | | | | | | |
| 2025-06-17 | [STINR: Deciphering Spatial Transcriptomics via Implicit Neural Representation](https://cvpr.thecvf.com) | ST | ST (General) | Imputation, Denoising, Deconvolution | CVPR | [Link](https://cvpr.thecvf.com) | |
| 2025-06-17 | [ASIGN: An Anatomy-aware Spatial Imputation Graph Network for 3D Spatial Transcriptomics](https://openaccess.thecvf.com) | H&E + ST | ST (3D) | 3D Imputation | CVPR | [Link](https://openaccess.thecvf.com) | |
| 2025-06-17 | [MERGE: Multi-faceted Hierarchical Graph-based GNN for Gene Expression Prediction](https://cvpr.thecvf.com) | WSI + ST | ST (General) | Gene Expression Prediction | CVPR | [Link](https://cvpr.thecvf.com) | |
| 2025-02-25 | [DUSTED: Dual-Attention Enhanced Spatial Transcriptomics Denoiser](https://ojs.aaai.org) | ST | ST (General) | Denoising, Imputation | AAAI | [Link](https://ojs.aaai.org) | |
| 2025-02-25 | [SpotDiff: Spatial Gene Expression Imputation Diffusion with Single-Cell RNA Integration](https://ojs.aaai.org) | ST + scRNA-seq | ST (General) | Imputation | AAAI | [Link](https://ojs.aaai.org) | |
| 2025-02-25 | [MEATRD: Multimodal Anomalous Tissue Region Detection Enhanced with Spatial Transcriptomics](https://arxiv.org) | H&E + ST | ST (General) | Anomaly Detection | AAAI | [Link](https://arxiv.org) | |
| 2025-02-25 | [M2OST: Many-to-One Regression for Predicting Spatial Transcriptomics from Digital Pathology Images](https://themoonlight.io) | Pathology Images | ST (General) | ST Prediction from Image | AAAI | [Link](https://themoonlight.io) | |
| 2025 | [MoST-IG: Morphology-Guided Spatial Transcriptomics Integration via Visual-Genomic Graph Optimal Transport](https://papers.miccai.org) | H&E + ST | ST (Multi-slice) | Multi-slice Integration | MICCAI | [Link](https://papers.miccai.org) | |
| 2025 | [Deep Association Multimodal Learning for Zero-shot Spatial Transcriptomics Prediction (ALIGN-ST)](https://papers.miccai.org) | H&E + Text | ST (General) | Zero-shot Prediction | MICCAI | [Link](https://papers.miccai.org) | |
| 2025 | [Adaptive Spatial Transcriptomics Interpolation via Cross-modal Cross-slice Modeling (C2-STi)](https://papers.miccai.org) | H&E + ST | ST (3D) | Slice Interpolation | MICCAI | [Link](https://papers.miccai.org) | |
| 2025 | [HAGE: Hierarchical Alignment Gene-Enhanced Pathology Representation Learning with Spatial Transcriptomics](https://papers.miccai.org) | H&E + ST | ST (General) | Representation Learning | MICCAI | [Link](https://papers.miccai.org) | |
| 2025 | [Towards Spatial Transcriptomics-guided Pathological Image Recognition with Batch-Agnostic Encoder](https://arxiv.org) | H&E + ST | ST (General) | Image Classification | ISBI | [Link](https://arxiv.org) | |
| 2025 | [Integration of Spatial Transcriptomics and Immunofluorescence Staining to Enable Colocalized Multi-omics Analysis](https://spie.org) | Visium + mIF | Visium | Multi-omics Co-registration | SPIE | [Link](https://spie.org) | |
| 2025 | [Renal Cell Type and State Estimation in Brightfield Histology Images](https://profiles.wustl.edu) | H&E + Text | Visium | Cell Type Estimation | SPIE | [Link](https://profiles.wustl.edu) | |
| 2025 | [MagNet: Multi-Level Attention Graph Network for Predicting High-Resolution Spatial Transcriptomics](https://openreview.net) | Histology + ST | Visium + High-res | High-res ST Prediction | MIDL | [Link](https://openreview.net) | |
| **2024** | | | | | | | |
| 2024-06-17 | [Accurate Spatial Gene Expression Prediction by Integrating Multi-Resolution Features (TRIPLEX)](https://openaccess.thecvf.com) | H&E + ST | ST (General) | Spatial Gene Expression Prediction | CVPR | [Link](https://openaccess.thecvf.com) | |
| 2024 | [Enhancing Gene Expression Prediction from Histology Images with Spatial Transcriptomics Completion](https://papers.miccai.org) | H&E + ST | ST (General) | Imputation / Prediction | MICCAI | [Link](https://papers.miccai.org) | |
| 2024 | [Spatial Transcriptomics Analysis of Zero-shot Gene Expression Prediction](https://papers.miccai.org) | H&E + ST + Text | ST (General) | Zero-shot Prediction | MICCAI | [Link](https://papers.miccai.org) | |
| 2024 | [Cross-modal Diffusion Modelling for Super-resolved Spatial Transcriptomics](https://papers.miccai.org) | H&E + ST | ST (General) | Super-resolution | MICCAI | [Link](https://papers.miccai.org) | |
| 2024 | [Survival Analysis of Histopathological Image Based on a Pretrained Hypergraph Model (MHNN-surv)](https://papers.miccai.org) | WSI + ST | ST (General) | Survival Prediction | MICCAI | [Link](https://papers.miccai.org) | |
| 2024 | [Modeling Dense Multimodal Interactions Between Biological Pathways and Histology (SURVPATH)](https://openaccess.thecvf.com) | WSI + Bulk RNA | Bulk RNA | Survival Prediction | ISBI/CVPR | [Link](https://openaccess.thecvf.com) | |
| 2024 | [Forecasting Embryonic Development: A Spatial Transcriptomics Approach](https://ieeexplore.ieee.org) | ST + Morphology | ST (General) | Spatiotemporal Forecasting | ISBI | [Link](https://ieeexplore.ieee.org) | |
| 2024 | [Spatial Pathomics Toolkit for Quantitative Analysis of Podocyte Nuclei](https://arxiv.org) | H&E + ST | Visium | Nuclei Segmentation / Analysis | SPIE | [Link](https://arxiv.org) | |
| 2024 | [Validation of Label-free Optical Imaging Markers of Pancreatic Cancer Using Spatial Transcriptomics](https://spie.org) | Auto-fluor/SHG + ST | ST (General) | Label-free Marker Validation | SPIE | [Link](https://spie.org) | |
| 2024 | [Learned Morphological Features Guide Cell Type Assignment of Deconvolved Spatial Transcriptomics (MHAST)](https://proceedings.mlr.press) | H&E + ST | Visium | Cell-type Deconvolution | MIDL | [Link](https://proceedings.mlr.press) | |
| 2024 | [IST-editing: Infinite Spatial Transcriptomic Editing in a Generated Gigapixel Mouse Pup](https://openreview.net) | H&E + ST | High-plex ST | Image Synthesis / Editing | MIDL | [Link](https://openreview.net) | |
| Published   | Title                                                                                                                                      | Modalities              | Platform | Assignment                                        | Publisher     | Link                                                                                       | Code                                                |
|------------|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------|----------|---------------------------------------------------|----------------|--------------------------------------------------------------------------------------------|-----------------------------------------------------|
| 2023-09-25 | [Spatially Resolved Gene Expression Prediction from H&E Histology Images via Bi-modal Contrastive Learning](https://arxiv.org/abs/2306.01859) | H&E + ST                | Both     | Gene expression prediction                        | NeurIPS        | [Link](https://arxiv.org/abs/2306.01859)                                                  | N/A                                                 |
| 2023-09-25 | [MuSe-GNN: Learning Unified Gene Representation From Multimodal Biological Graph Data](https://arxiv.org/abs/2310.02275)                   | scRNA-seq + ST          | Both     | Cross-modal gene representation                   | NeurIPS        | [Link](https://arxiv.org/abs/2310.02275)                                                  | N/A                                                 |
| 2024-09-25 | [HEST-1k: A Dataset For Spatial Transcriptomics and Histology Image Analysis](https://arxiv.org/abs/2406.16192)                            | H&E + ST                | Dataset  | Multi-organ spatial data benchmarking             | NeurIPS        | [Link](https://arxiv.org/abs/2406.16192)                                                  | N/A                                                 |
| 2024-09-25 | [STimage-1K4M: A Histopathology Image–Gene Expression Dataset for Spatial Transcriptomics](https://arxiv.org/abs/2406.06393)               | H&E + ST                | Dataset  | Patch-level image-transcriptome links             | NeurIPS        | [Link](https://arxiv.org/abs/2406.06393)                                                  | N/A                                                 |
| 2025-09-18 | [SAINT: Sequence-Aware Integration for Spatial Transcriptomics Multi-View Clustering](https://openreview.net/forum?id=EBHZNmygTT)          | ST + DNA                | Both     | Spatial clustering with gene sequence priors      | NeurIPS        | [Link](https://openreview.net/forum?id=EBHZNmygTT)                                       | N/A                                                 |
| 2025-09-18 | [Learning Relative Gene Expression Trends from Pathology Images in Spatial Transcriptomics](https://openreview.net/forum?id=X3zarVyJ5B)    | H&E + ST                | Both     | Robust expression ranking under noise             | NeurIPS        | [Link](https://openreview.net/forum?id=X3zarVyJ5B)                                       | [Repo](https://github.com/naivete5656/STRank)        |
| 2025-09-18 | [Modeling Microenvironment Trajectories on Spatial Transcriptomics with NicheFlow](https://neurips.cc/virtual/2025/poster/119831)          | ST (time-series)        | Modeling | Spatiotemporal tissue dynamics                    | NeurIPS        | [Link](https://neurips.cc/virtual/2025/poster/119831)                                     | N/A                                                 |
| 2025-09-18 | [scGeneScope: A Treatment-Matched Single Cell Imaging and Transcriptomics Dataset and Benchmark](https://neurips.cc/virtual/2025/poster/121808) | Cell painting + scRNA-seq | Dataset  | Drug response modeling                            | NeurIPS        | [Link](https://neurips.cc/virtual/2025/poster/121808)                                     | N/A                                                 |
